INFO 2025-06-07 13:31:07,939 basehttp 35704 47336 "GET /admin/account/emailaddress/ HTTP/1.1" 200 16625
INFO 2025-06-07 13:31:07,962 basehttp 35704 47336 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 13:31:10,163 basehttp 35704 47336 "GET /admin/socialaccount/socialaccount/ HTTP/1.1" 200 17007
INFO 2025-06-07 13:31:10,188 basehttp 35704 47336 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 13:31:11,061 basehttp 35704 47336 "GET /admin/socialaccount/socialapp/ HTTP/1.1" 200 15879
INFO 2025-06-07 13:31:11,083 basehttp 35704 47336 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 13:31:11,955 basehttp 35704 47336 "GET /admin/socialaccount/socialtoken/ HTTP/1.1" 200 16271
INFO 2025-06-07 13:31:11,980 basehttp 35704 47336 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 13:31:13,384 basehttp 35704 47336 "GET /admin/sites/site/ HTTP/1.1" 200 16327
INFO 2025-06-07 13:31:13,431 basehttp 35704 47336 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 13:31:14,594 basehttp 35704 47336 "GET /admin/auth/staff/ HTTP/1.1" 200 18455
INFO 2025-06-07 13:31:14,611 basehttp 35704 46264 "GET /static/admin/img/icon-yes.svg HTTP/1.1" 304 0
INFO 2025-06-07 13:31:14,616 basehttp 35704 47336 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 13:31:16,008 basehttp 35704 47336 "GET /admin/auth/group/ HTTP/1.1" 200 14624
INFO 2025-06-07 13:31:16,031 basehttp 35704 47336 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 13:31:17,439 basehttp 35704 47336 "GET /admin/auth/staff/ HTTP/1.1" 200 18455
INFO 2025-06-07 13:31:17,465 basehttp 35704 47336 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 13:31:19,258 basehttp 35704 47336 "GET /admin/questions/tag/ HTTP/1.1" 200 19452
INFO 2025-06-07 13:31:19,279 basehttp 35704 47336 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 13:31:22,410 basehttp 35704 47336 "GET /admin/questions/subject/ HTTP/1.1" 200 19908
INFO 2025-06-07 13:31:22,432 basehttp 35704 47336 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 13:31:24,693 basehttp 35704 47336 "GET /admin/questions/question/ HTTP/1.1" 200 35696
INFO 2025-06-07 13:31:24,711 basehttp 35704 47336 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 13:36:15,495 autoreload 35704 41944 C:\Users\bryan\OneDrive\Documents\webapp\QuizSystem\questions\views.py changed, reloading.
INFO 2025-06-07 13:36:16,214 autoreload 3164 9552 Watching for file changes with StatReloader
INFO 2025-06-07 13:36:32,619 autoreload 3164 9552 C:\Users\bryan\OneDrive\Documents\webapp\QuizSystem\questions\views.py changed, reloading.
INFO 2025-06-07 13:36:33,267 autoreload 39020 17160 Watching for file changes with StatReloader
INFO 2025-06-07 13:41:56,446 autoreload 39020 17160 C:\Users\bryan\OneDrive\Documents\webapp\QuizSystem\core_settings\settings.py changed, reloading.
INFO 2025-06-07 13:41:57,090 autoreload 31924 43912 Watching for file changes with StatReloader
INFO 2025-06-07 13:42:10,551 autoreload 31924 43912 C:\Users\bryan\OneDrive\Documents\webapp\QuizSystem\exams\models.py changed, reloading.
INFO 2025-06-07 13:42:11,208 autoreload 51560 27600 Watching for file changes with StatReloader
INFO 2025-06-07 13:42:24,668 autoreload 51560 27600 C:\Users\bryan\OneDrive\Documents\webapp\QuizSystem\exams\admin.py changed, reloading.
INFO 2025-06-07 13:42:25,090 autoreload 49400 46492 Watching for file changes with StatReloader
INFO 2025-06-07 13:42:39,350 autoreload 49400 46492 C:\Users\bryan\OneDrive\Documents\webapp\QuizSystem\exams\admin.py changed, reloading.
INFO 2025-06-07 13:42:39,975 autoreload 44240 6852 Watching for file changes with StatReloader
INFO 2025-06-07 13:43:08,317 basehttp 44240 43640 "GET /admin/questions/question/ HTTP/1.1" 200 37550
INFO 2025-06-07 13:43:08,348 basehttp 44240 43640 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 13:43:15,814 basehttp 44240 43640 "GET /admin/exams/examsession/ HTTP/1.1" 200 18666
INFO 2025-06-07 13:43:15,842 basehttp 44240 43640 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 13:43:19,079 basehttp 44240 43640 "GET /admin/exams/examsession/add/ HTTP/1.1" 200 26113
INFO 2025-06-07 13:43:19,108 basehttp 44240 43640 "GET /static/admin/css/forms.css HTTP/1.1" 304 0
INFO 2025-06-07 13:43:19,110 basehttp 44240 49336 "GET /static/admin/css/vendor/select2/select2.css HTTP/1.1" 304 0
INFO 2025-06-07 13:43:19,111 basehttp 44240 8776 "GET /static/admin/css/autocomplete.css HTTP/1.1" 304 0
INFO 2025-06-07 13:43:19,113 basehttp 44240 43640 "GET /static/admin/js/autocomplete.js HTTP/1.1" 304 0
INFO 2025-06-07 13:43:19,114 basehttp 44240 50608 "GET /static/admin/js/vendor/select2/i18n/zh-TW.js HTTP/1.1" 304 0
INFO 2025-06-07 13:43:19,114 basehttp 44240 8776 "GET /static/admin/js/prepopulate_init.js HTTP/1.1" 304 0
INFO 2025-06-07 13:43:19,114 basehttp 44240 39268 "GET /static/admin/js/vendor/select2/select2.full.js HTTP/1.1" 304 0
INFO 2025-06-07 13:43:19,115 basehttp 44240 24356 "GET /admin/jsi18n/ HTTP/1.1" 200 8759
INFO 2025-06-07 13:43:19,180 basehttp 44240 39268 "GET /static/admin/img/icon-changelink.svg HTTP/1.1" 304 0
INFO 2025-06-07 13:43:19,180 basehttp 44240 24356 "GET /static/admin/css/widgets.css HTTP/1.1" 304 0
INFO 2025-06-07 13:43:19,184 basehttp 44240 24356 "GET /static/admin/js/change_form.js HTTP/1.1" 304 0
INFO 2025-06-07 13:43:22,886 basehttp 44240 24356 "GET /admin/autocomplete/?app_label=exams&model_name=examsession&field_name=user HTTP/1.1" 200 129
INFO 2025-06-07 13:43:25,124 basehttp 44240 24356 "GET /admin/autocomplete/?app_label=exams&model_name=examsession&field_name=subject HTTP/1.1" 200 412
INFO 2025-06-07 13:43:38,154 basehttp 44240 24356 "GET /admin/progress/userprogress/add/ HTTP/1.1" 200 25923
